"project","nid","date","trap nid","trap","code","line","trap type","tags","lat","long","easting","northing","status","initial bait","rebaited","bait type","bait details","recorded by","strikes","species caught","gender","maturity","trap condition","notes","Images"
"Ohiwa Forest","37398747","2026-05-27 12:00","34390895","OF 79","OF 79","SmlNativeBoundary","DOC 200","","-38.019960926589","177.031790805260","1953955.5462363","5784292.5055663","Sprung","None","Yes","Dehydrated Rabbit","","","1","Rat","","","OK","",""
"Ohiwa Forest","37398748","2026-05-27 12:00","33626981","OF01","OF01","NWBoundaryLine","DOC 200","","-38.010080061182","177.016146518480","1952629.0026016","5785448.9999871","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","1","Rat","","","OK","",""
"Ohiwa Forest","37398757","2026-05-27 12:00","33626990","OF06","OF06","NWBoundaryLine","DOC 200","","-38.010151644253","177.010890724560","1952167.0025781","5785460.9999873","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","1","Rat","","","OK","",""
"Ohiwa Forest","37398761","2026-05-27 12:00","33626994","OF08","OF08","NWBoundaryLine","DOC 200","","-38.010146796051","177.008659067360","1951971.0025675","5785469.9999875","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","1","Rat","","","OK","",""
"Ohiwa Forest","37398765","2026-05-27 12:00","33626998","OF10","OF10","NWBoundaryLine","DOC 200","","-38.009886815010","177.007039655330","1951830.0025607","5785504.9999875","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","0","None","","","OK","",""
"Ohiwa Forest","37398779","2026-05-27 12:00","33627012","OF18","OF18","NWBoundaryLine","DOC 200","","-38.013745133952","177.006157054490","1951734.0025571","5785079.9999875","Still set, bait OK","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","0","None","","","OK","",""
"Ohiwa Forest","37398781","2026-05-27 12:00","33627014","OF19","OF19","Ohiwa Roads","DOC 200","","-38.014277354516","177.006926115010","1951799.0025603","5785017.9999875","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","1","Rat","","","OK","",""
"Ohiwa Forest","37398785","2026-05-27 12:00","33627018","OF21","OF21","Ohiwa Roads","DOC 200","","-38.013880683285","177.008783050570","1951964.002568","5785054.9999874","Still set, bait OK","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","0","None","","","OK","",""
"Ohiwa Forest","37398794","2026-05-27 12:00","33627027","OF26","OF26","Ohiwa Roads","DOC 200","","-38.013509928148","177.009616713570","1952039.0025724","5785092.9999873","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","1","Stoat","","","OK","",""
"Ohiwa Forest","37398807","2026-05-27 12:00","33627040","OF33","OF33","Ohiwa Roads","DOC 200","","-38.013691397694","177.015376140530","1952544.0025984","5785050.9999871","Still set, bait OK","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","0","None","","","OK","",""
"Ohiwa Forest","37398810","2026-05-27 12:00","33627044","OF34","33627044","SmlNativeBoundary","DOC 200","","-38.013800487293","177.014321338840","1952450.8323428","5785042.893709","Still set, bait OK","None","Yes","Dehydrated Rabbit","","","0","None","","","OK","",""
"Ohiwa Forest","37398820","2026-05-27 12:00","33627054","OF39","OF39","SmlNativeBoundary","DOC 200","","-38.014793416606","177.015812076270","1952577.0026002","5784926.9999871","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","1","Rat","","","OK","",""
"Ohiwa Forest","37398822","2026-05-27 12:00","33627056","OF40","OF40","Ohiwa Roads","DOC 200","","-38.013993193069","177.017612751800","1952739.0026085","5785008.9999871","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","1","Weasel","","","OK","",""
"Ohiwa Forest","37398824","2026-05-27 12:00","33627058","OF41","OF41","Ohiwa Roads","DOC 200","","-38.012538351456","177.018011383050","1952781.0026103","5785168.999987","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","1","Weasel","","","OK","",""
"Ohiwa Forest","37398830","2026-05-27 12:00","33627064","OF44","OF44","Ohiwa Roads","DOC 200","","-38.016669965676","177.013944788910","1952403.9912743","5784725.7577299","Still set, bait OK","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","0","None","","","OK","",""
"Ohiwa Forest","37398832","2026-05-27 12:00","33627066","OF45","OF45","Ohiwa Roads","DOC 200","","-38.015771697291","177.011436574680","1952188.0025805","5784834.9999872","Still set, bait OK","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","0","None","","","OK","",""
"Ohiwa Forest","37398840","2026-05-27 12:00","33627074","OF49","OF49","Ohiwa Roads","DOC 200","","-38.018895484872","177.018074373110","1952756.0026103","5784462.999987","Still set, bait OK","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","0","None","","","OK","",""
"Ohiwa Forest","37398847","2026-05-27 12:00","33627081","OF53","OF53","Ohiwa Roads","DOC 200","","-38.018601929916","177.020597383380","1952979.0026225","5784485.9999869","Sprung","None","Yes","Dehydrated Rabbit","","","1","Weasel","","","OK","",""
"Ohiwa Forest","37398989","2026-05-27 12:00","33627087","OF56","OF56","Ohiwa Roads","DOC 200","","-38.021108832556","177.021303894960","1953029.0026258","5784204.9999869","Still set, bait OK","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","0","None","","","OK","",""
"Ohiwa Forest","37398995","2026-05-27 12:00","33627093","OF59","OF59","Ohiwa Roads","DOC 200","","-38.021976599490","177.018584485470","1952786.002613","5784118.999987","Still set, bait OK","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","0","None","","","OK","",""
"Ohiwa Forest","37399000","2026-05-27 12:00","33627098","OF62","OF62","Ohiwa Roads","DOC 200","","-38.023474347349","177.020089756810","1952911.0026201","5783946.9999869","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","1","Stoat","","","OK","",""
"Ohiwa Forest","37399002","2026-05-27 12:00","33627100","OF63","OF63","Ohiwa Roads","DOC 200","","-38.022815917632","177.021693393030","1953055.0026271","5784013.9999868","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","1","Weasel","","","OK","",""
"Ohiwa Forest","37399008","2026-05-27 12:00","33627106","OF66","OF66","Ohiwa Roads","DOC 200","","-38.021282198654","177.022816382680","1953161.0026328","5784179.9999868","Sprung","Other (please specify), Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","1","Weasel","","","OK","",""
"Ohiwa Forest","37399010","2026-05-27 12:00","33627108","OF67","OF67","Ohiwa Roads","DOC 200","","-38.023781796688","177.024786530930","1953322.0026416","5783894.9999867","Sprung","None","Yes","Dehydrated Rabbit","","","1","Rat","","","OK","",""
"Ohiwa Forest","37399012","2026-05-27 12:00","33627110","OF68","OF68","Skid16ToSENative","DOC 200","","-38.020980886889","177.028909192720","1953697.5523599","5784190.2539368","Still set, bait OK","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","0","None","","","OK","",""
"Ohiwa Forest","37399014","2026-05-27 12:00","33627112","OF69","OF69","Skid16ToSENative","DOC 200","","-38.020521700865","177.029757038740","1953774.2265795","5784238.0015425","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","1","Rat","","","OK","",""
"Ohiwa Forest","37399016","2026-05-27 12:00","33627114","OF70","OF70","Skid16ToSENative","DOC 250","","-38.019831661585","177.030220903320","1953818.2903541","5784312.8412112","Sprung","None","Yes","Dehydrated Rabbit","","","1","Rat","","","OK","",""
"Ohiwa Forest","37399017","2026-05-27 12:00","33627115","OF71","OF71","Skid16ToSENative","DOC 200","","-38.019524326166","177.030997791360","1953888.0026704","5784343.9999865","Sprung","None","Yes","Dehydrated Rabbit","","","1","Rat","","","OK","",""
"Ohiwa Forest","37399019","2026-05-27 12:00","33627117","OF72","OF72","Skid16ToSENative","DOC 200","","-38.019004466602","177.031447478760","1953930.002672","5784399.9999865","Sprung","None","Yes","Dehydrated Rabbit","","","1","Rat","","","OK","",""
"Ohiwa Forest","37399021","2026-05-27 12:00","33627119","OF73","OF73","Skid16ToSENative","DOC 200","","-38.018315406978","177.033151704210","1954083.0026805","5784469.9999864","Still set, bait OK","None","Yes","Dehydrated Rabbit","","","0","None","","","OK","",""
"Ohiwa Forest","37399023","2026-05-27 12:00","33627121","OF74","OF74","Skid16ToSENative","DOC 200","","-38.018289189601","177.034418699760","1954194.4072446","5784468.0773228","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","1","Rat","","","OK","",""
"Ohiwa Forest","37399025","2026-05-27 12:00","33627123","OF75","OF75","Skid16ToSENative","DOC 200","","-38.018636535280","177.034883983430","1954233.5969816","5784427.7399241","Sprung","None","Yes","Dehydrated Rabbit","","","1","Rat","","","OK","",""
"Ohiwa Forest","37399027","2026-05-27 12:00","33627125","OF76","OF76","Skid16ToSENative","DOC 200","","-38.018729396951","177.034210548130","1954174.0026848","5784419.9999863","Still set, bait OK","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","","0","None","","","OK","",""
"Ohiwa Forest","37399029","2026-05-27 12:00","33627127","OF77","OF77","Skid16ToSENative","DOC 200","","-38.019001818157","177.033360174380","1954098.0026815","5784392.9999864","Still set, bait OK","None","Yes","Dehydrated Rabbit","","","0","None","","","OK","",""
"Ohiwa Forest","35823810","2026-02-01 12:17","33626981","OF01","OF01","NWBoundaryLine","DOC 200","","-38.010080061182","177.016146518480","1952629.0026016","5785448.9999871","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","Thomas Armstrong ","1","Rat","","","OK","",""
"Ohiwa Forest","35823694","2026-02-01 12:03","33627058","OF41","OF41","Ohiwa Roads","DOC 200","","-38.012538351456","177.018011383050","1952781.0026103","5785168.999987","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","Thomas Armstrong ","1","Rat","","","OK","",""
"Ohiwa Forest","35823212","2026-02-01 11:23","33627093","OF59","OF59","Ohiwa Roads","DOC 200","","-38.021976599490","177.018584485470","1952786.002613","5784118.999987","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","Thomas Armstrong ","1","Rat","","","OK","",""
"Ohiwa Forest","35823014","2026-02-01 11:10","33627100","OF63","OF63","Ohiwa Roads","DOC 200","","-38.022815917632","177.021693393030","1953055.0026271","5784013.9999868","Sprung","Dehydrated Rabbit","Yes","Dehydrated Rabbit","","Thomas Armstrong ","1","Rat","","","OK","",""
"Ohiwa Forest","35822525","2026-02-01 10:34","33627110","OF68","OF68","Skid16ToSENative","DOC 200","","-38.020980886889","177.028909192720","1953697.5523599","5784190.2539368","Sprung","Other (please specify)","Yes","Dehydrated Rabbit","","Thomas Armstrong ","1","Rat","","","OK","",""
"Ohiwa Forest","35821558","2026-02-01 09:54","33627121","OF74","OF74","Skid16ToSENative","DOC 200","","-38.018289189601","177.034418699760","1954194.4072446","5784468.0773228","Sprung","None","Yes","Dehydrated Rabbit","","Thomas Armstrong ","1","Rat","","","OK","",""
"Ohiwa Forest","35195578","2025-12-14 10:51","33627106","OF66","OF66","Ohiwa Roads","DOC 200","","-38.021282198654","177.022816382680","1953161.0026328","5784179.9999868","Sprung","None","Yes","Other (please specify), Dehydrated Rabbit","","Thomas Armstrong ","1","Rat","","","OK","",""
"Ohiwa Forest","35195572","2025-12-14 09:09","33627110","OF68","OF68","Skid16ToSENative","DOC 200","","-38.020980886889","177.028909192720","1953697.5523599","5784190.2539368","Sprung","None","Yes","Other (please specify)","Erayze ","Thomas Armstrong ","1","Rat","","","OK","",""
"Ohiwa Forest","34873843","2025-11-23 10:18","33627125","OF76","OF76","Skid16ToSENative","DOC 200","","-38.018729396951","177.034210548130","1954174.0026848","5784419.9999863","Sprung","None","Yes","Dehydrated Rabbit","","Thomas Armstrong ","1","Rat","","","OK","",""
"Ohiwa Forest","34873219","2025-11-23 09:22","33627112","OF69","OF69","Skid16ToSENative","DOC 200","","-38.020521700865","177.029757038740","1953774.2265795","5784238.0015425","Sprung","None","Yes","Dehydrated Rabbit","","Thomas Armstrong ","1","Rat","","","OK","",""
